Original_URL,Local_File_Path,Page_Title,Asset_Type,AI_Summary,Word_Count
https://www.kaleoalaska.org/sermons/topic/expository,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\sermons_topic_expository.html,"Kaleo Church: Anchorage, AK > Expository",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,402
https://www.kaleoalaska.org,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\index.html,"Kaleo Church: Anchorage, AK",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,196
https://cpmfiles1.com/kaleoalaska.org/bible-study.png,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\images\kaleoalaska_org_bible-study_png.png,kaleoalaska_org_bible-study_png,Image,Asset,0
https://www.kaleoalaska.org/sermons/sermon/2026-01-11/to-obey-is-better,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\sermons_sermon_2026-01-11_to-obey-is-better.html,"Kaleo Church: Anchorage, AK > To Obey Is Better",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,183
https://cpmfiles1.com/kaleoalaska.org/hello-ql-1.png,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\images\kaleoalaska_org_hello-ql-1_png.png,kaleoalaska_org_hello-ql-1_png,Image,Asset,0
https://www.kaleoalaska.org/sermons/preacher/u/20/cody-carpenter,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\sermons_preacher_u_20_cody-carpenter.html,"Kaleo Church: Anchorage, AK > Sermons by Cody Carpenter",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,206
https://www.kaleoalaska.org/about,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\about.html,"Kaleo Church: Anchorage, AK > About",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,171
https://www.kaleoalaska.org/sermons/series/independent-sermons,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\sermons_series_independent-sermons.html,"Kaleo Church: Anchorage, AK > Independent Sermons",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,339
https://www.kaleoalaska.org/plan-your-visit,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\plan-your-visit.html,"Kaleo Church: Anchorage, AK > Plan Your Visit",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,306
https://www.kaleoalaska.org/staff-leadership,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\html\staff-leadership.html,"Kaleo Church: Anchorage, AK > Staff & Leadership",HTML,Group Go Back Home About Plan Your Visit Staff & Leadership What We Believe Our Story Get Connected Contact/Connect Card K-Groups Kaleo Kids Kaleo Student Ministry (6th-12th Grades) Men's Ministry Chu...,176
https://cpmfiles1.com/kaleoalaska.org/img_2577.jpeg,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\images\kaleoalaska_org_img_2577_jpeg.jpg,kaleoalaska_org_img_2577_jpeg,Image,Asset,0
https://cpmfiles1.com/kaleoalaska.org/square-insets-3.png,C:\Users\hotre\OneDrive\Desktop\Kaleo Website Bot\site_archive\images\kaleoalaska_org_square-insets-3_png.png,kaleoalaska_org_square-insets-3_png,Image,Asset,0
